sentence nr	sentence	paragraph nr	sentence nr in paragraph	words	vocabulary matches	vocabulary matches percentage	vocabulary words found
193	Cela n'est pas si surprenant qu'il vous le paraît: avant de mettre au jour un ouvrage, on lisait autrefois les anciens, on étudiait la nature, on méditait long	36	0	30	1	0.03333333333333333	[['un']]
194	-temps	36	1	1	0	0.0	[]
195	son sujet	36	2	2	0	0.0	[]
196	pour s'en rendre maître	36	3	5	0	0.0	[]
197	;	36	4	0	0	0	[]
198	aujourd'hui l'on a supprimé toutes ces longueurs: les Dictionnaires, et sur quelle matière n'en a-t-on pas fait, épargnent toutes ces peines et sont les sources uniques et abondantes où l'on puise: c'est sur la brochure en faveur qu'on dirige son plan, celles du mois ou de l'an fournissent le remplissage, en sorte qu'il est presque aussi aisé d'en faire une que de l'acheter quand elle est imprimée.	36	5	78	5	0.0641025641025641	[['faire'], ['fournir'], ['aiser'], ['faire'], ['un']]
199	Vous me jetez à présent, me dit-il, dans un autre embarras;	37	0	12	1	0.08333333333333333	[['un']]
200	comment, excepté pour habiller le sucre et la canelle, peut-on trouver à vendre tant de mauvais écrits?	37	1	18	0	0.0	[]
201	On n'est pas du bel air, lui répondis-je, si on n'a lu la nouveauté du jour, le bel esprit est à la mode, et vous connaissez l'empire de la mode sur nous;	37	2	36	2	0.05555555555555555	[['bel'], ['bel']]
202	elle fait tout acheter, on n'imprime que des frivolités, et à force d'en lire, on en prend le goût au point, qu'il ne peut être affecté que par elles.	37	3	32	2	0.0625	[['faire'], ['un']]
203	Sçavez-vous, continuai-je, qu'on a trouvé le moyen de rendre les Contes de la Fontaine chastes?	38	0	18	0	0.0	[]
204	Ah! qu'elle est la main habile, dit-il, qui a pu jeter un voile sur ces nudités?	38	1	18	2	0.1111111111111111	[['main'], ['un']]
205	La chose vous paraîtra d'autant plus surprenante, que plusieurs y ont travaillé; mais, luidis-je, nous l'entendons dans deux sens bien différents, je veux dire qu'on a fait des romans et des contes si détestables, et en si grand nombre, que les contes sont innocent en comparaison, et par la familiarité qu'ils ont fait contracter avec les obscénités.	38	2	62	4	0.06451612903225806	[['faire'], ['un'], ['grand'], ['faire']]
206	Ceux de la Fontaine ne disent le fait qu'en gros, les autres le détaillent dans ses moindres circonstances, et en font des peintures si vives, qu'il n'est point de cœur qui puisse se sauver des impressions qu'elles font.	38	3	42	4	0.09523809523809523	[['gros'], ['faire'], ['un'], ['un']]
207	Ces corrupteurs des mœurs, reprit-il d'un ton échauffé, sont pires que des Locustes, des Brinvilliers et des Voisins.	38	4	20	3	0.15	[['un'], ['ton'], ['un']]
208	Il y en a sur-tout quelques-uns, ajoûtai-je, qui sont d'autant plus coupables, qu'ils y ont prodigué tout l'esprit possible.	39	0	23	0	0.0	[]
209	Ce récit l'avait aigri, je m'en aperçu et je m'arrêtai.	40	0	13	0	0.0	[]
210	Quand il vit que je gardois le silence, il m'interrogea ainsi: la scène française est elle toujours en proie aux Pradons?	40	1	22	0	0.0	[]
211	Nous devons cette gloire à nos Auteurs vivant, lui dis je, que le théâtre a fait sous eux des progrès considérables.	40	2	21	2	0.09523809523809523	[['faire'], ['un']]
212	On ne travaille plus à présent dans le goût de votre temps, ce genre a vieilli et a passé.	40	3	19	0	0.0	[]
213	Quoi, dit-il tout en feu, la manière dont Moliere, Corneille et Racine ont traité la comédie et la tragédie, qu'ils avaient presque porté à leur perfection, n'est plus de mode?	40	4	33	0	0.0	[]
214	Je suis bien impatient de savoir quel est le genre nouveau qu'ils ont substitué à l'ancien?	40	5	18	0	0.0	[]
215	La tragédie nouvelle brille en pompeuses déclamations et en fréquentes sentences;	41	0	11	0	0.0	[]
216	on n'y voit point, comme dans l'ancienne, les héros pleins de feu, et de la passion qui les agite, en poursuivre l'objet avec force et sans relâche jusqu'à la fin, ils sont au contraire d'un froid et d'une tranquillité admirable.	41	1	46	5	0.10869565217391304	[['plein'], ['fin'], ['un'], ['froid'], ['un']]
217	Au lieu d'action, ils étalent la métaphysique la plus subtile, et font la dissection la plus fine des sentiment dont ils se disent animés.	41	2	25	2	0.08	[['faire'], ['fine']]
218	Ces sentiment au reste ne sont ni tels qu'ils devraient les avoir, ni tels qu'ils les ont eus, en quoi la supériorité de génie de nos tragiques est manifeste, car au lieu de piller dans la nature ou dans l'histoire, ils prennent dans leur esprit et leur imagination.	41	3	51	0	0.0	[]
219	Il y a communément une ou plusieurs reconnoissances;	41	4	8	1	0.125	[['un']]
220	ce qui fait, on ne sçaurait en disconvenir, des coups de théâtre des plus frappants et des plus touchant.	41	5	19	2	0.10526315789473684	[['faire'], ['un']]
221	L'on voit du commencement du premier acte, le dénouement qui doit arriver au cinquième, malgré les obstacles qu'on accumule dans les autres pour pouvoir les remplir.	41	6	28	0	0.0	[]
222	C'est-là une très-grande découverte qu'on a faite, au moyen de laquelle on délivre les spectateurs de cette agitation et de cette inquiétude qui les tenait dans les alarmes et la peine jusqu'à la fin.	41	7	39	3	0.07692307692307693	[['un'], ['grand'], ['faire']]
223	On leur a sauvé aussi cette émotion tendre ou terrible que font éprouver les pièces de Racine et de Corneille.	41	8	20	2	0.1	[['tendre'], ['faire']]
224	On est d'une tranquillité merveilleuse pendant tout le spectacle, et l'on assiste le plus paisiblement du monde au mariage des parties, qui s'ensuit d'ordinaire fort heureusement.	41	9	30	3	0.1	[['un'], ['pendant'], ['fort']]
225	On sort un peu ennuyé, mais fort content, et on n'emporte point avec soi cette tristesse et cette crainte dont on se laisse pénétrer aux pièces anciennes et dont on a peine à se laisser distraire long-temps après.	41	10	40	4	0.1	[['un'], ['fort'], ['pénétrer'], ['long']]
226	Le service que ces Auteurs rendent à la nation est essentiel.	42	0	11	0	0.0	[]
227	Ils ont craint que si on continuait à faire des pièces qui excitassent des sentiment aussi tristes que la terreur et la pitié;	42	1	23	4	0.17391304347826086	[['faire'], ['un'], ['un'], ['triste']]
228	nous ne devinsions aussi sombres et aussi mélancoliques que des Anglois, vu le goût décidé que l'on a pour le théâtre, et que la gaieté nationale ne s'éteignit totalement, et ils ont bien pourvu à ce malheur.	42	2	39	4	0.10256410256410256	[['sombre'], ['mélancolique'], ['un'], ['éteindre']]
229	D'un autre côté, le François étant porté à rire comme il l'est, il était également dangereux que si la comédie produisait cet effet, nous ne devinssions trop légers et trop badins;	42	3	33	1	0.030303030303030304	[['un']]
230	on l'a corrigée et on l'a rendue toute sérieuse.	42	4	11	0	0.0	[]
231	Vous voilà en état d'admirer à présent le sage tempérament qu'ils ont trouvé en faisant des tragédies, où au lieu de verser des larmes, on rit quelquefois;	42	5	29	2	0.06896551724137931	[['faire'], ['un']]
232	et des comédies, où au lieu de rire, on larmoye.	42	6	10	0	0.0	[]
233	C'est ainsi que dans le siècle philosophe où nous vivons, on fait usage de ce grand principe: Que le dramatique doit purger les passions et corriger les mœurs.	42	7	29	2	0.06896551724137931	[['faire'], ['grand']]
234	On ne saurait nier que nos plaisirs n'aient gagné à cette réforme et qu'ils ne saient devenus plus décens.	43	0	21	0	0.0	[]
235	Etoit-il bienséant en effet, Monsieur, d'aller devant le monde, pleurer à chaudes larmes ou rire à gorge déployée?	43	1	20	1	0.05	[['gorge']]
236	Cela n'est pardonnable qu'au peuple.	43	2	7	0	0.0	[]
237	On fait tout ce qu'on peut pour corriger les honnêtes gens, mais on n'en a pas encore trouvé le moyen, ils ont un penchant étonnant pour les pièces de votre temps, et quoiqu'ils les aient vues un million de fois, elles ne manquent jamais de produire sur eux le même effet, mais on les en déshabitue si bien, qu'il faut espérer qu'on les fera changer.	43	3	70	4	0.05714285714285714	[['faire'], ['un'], ['un'], ['faire']]
238	Quelle différence, Monsieur, entre cet ancien bas comique de Moliere, et le haut comique d'aujourd'hui?	44	0	16	2	0.125	[['bas'], ['haut']]
239	On ne peut assister à l'un sans rire, au point qu'on en a honte soi-même;	44	1	18	1	0.05555555555555555	[['un']]
240	l'autre au contraire, noble et grave, fait, à la vérité, bailler quelquefois, mais est rempli de moralités et d'instructions.	44	2	21	3	0.14285714285714285	[['noble'], ['grave'], ['faire']]
241	Dans l'un on voit un avare, un mysantrope, soutenir tout uniment leur même caractère jusqu'à la fin par leurs actions;	44	3	22	4	0.18181818181818182	[['un'], ['un'], ['un'], ['fin']]
242	l'autre s'est affranchi de cet esclavage: on ne fait plus l'intrigue pour le caractère, afin qu'en agissant, il se développe et se fasse connaître;	44	4	28	2	0.07142857142857142	[['faire'], ['faire']]
243	c'est le caractère qui est destiné sur l'intrigue et qui se plie à tous ses besoins.	44	5	18	0	0.0	[]
244	Aussi au lieu de cette uniformité ancienne, cela produit une variété qui vous étonneroit.	44	6	14	1	0.07142857142857142	[['un']]
245	Dans l'un le style est simple et naturel;	44	7	9	1	0.1111111111111111	[['un']]
246	l'autre est sur le ton le plus élevé et le plus précieux, et tout jusqu'à la plaisanterie y est d'un sérieux et d'une dignité admirable.	44	8	29	3	0.10344827586206896	[['ton'], ['un'], ['un']]
247	J'allois continuer, mais il m'interrompit brusquement: votre récit m'échauffe la bile au point que je n'y puis plus tenir.	45	0	23	0	0.0	[]
248	Suivez moi, me dit-il, allons joindre Corneille, Racine et Moliere, qui se promenent dans les jardins, vous leur ferez tout ce beau détail;	45	1	24	3	0.125	[['joindre'], ['faire'], ['beau']]
249	au retour vous visiterez nos appartements.	45	2	6	0	0.0	[]
250	Il y en a non seulement pour les morts;	45	3	9	0	0.0	[]
251	vous verrez encore ceux qui sont destinés aux Auteurs vivant.	45	4	10	0	0.0	[]
252	Les beautés qu'ils mettent dans leurs écrits se convertissent, à mesure qu'ils les mettent au jour, en autant d'ornement qui les embellissent.	45	5	25	0	0.0	[]
253	Il y en a pour Voltaire, pour Crebillon, Gresset, le Franc, etc.	45	6	12	0	0.0	[]
254	Et par ce que je vous dis vous pouvez juger de leur magnificence; mais les imperfections y passent également, et les ternissent et les dégradent.	45	7	25	0	0.0	[]
255	Vous vous appercevrez que le mien se ressent de l'équivoque et de plusieurs de mes satyres.	45	8	17	0	0.0	[]
256	Qu'ils ne succombent donc pas à la faiblesse de donner de ces éditions si complettes, où avec les chefs d'œuvres de leurs veilles, on trouve les rêves de leur sommeil.	45	9	32	1	0.03125	[['chef']]
257	Nous marchions à grands pas tandis qu'il me parlait ainsi, et nous traversions les lieux du monde les plus beaux.	46	0	21	1	0.047619047619047616	[['grand']]
258	J'étais enchanté et ravi;	46	1	5	0	0.0	[]
259	je n'en entreprendrai pas la description;	46	2	7	0	0.0	[]
260	ce que Virgile a dit des Elisées, Milton du Jardin d'Eden, pourrait à peine en donner une idée.	46	3	19	2	0.10526315789473684	[['un'], ['un']]
261	C'est ici, me dit mon Conducteur, un parc immense, autour duquel sont rangés les palais des Auteurs des différentes Nations	46	4	21	2	0.09523809523809523	[['un'], ['immense']]
262	Il est commun à toutes, et chacune y a ses jardins particuliers.	46	5	12	0	0.0	[]
263	Voyez vous, me dit-il, sur votre droite ces bois si mal élagués et si touffus, où il y a tant d'arbres si verts et dont la tête s'élève si haut;	46	6	33	2	0.06060606060606061	[['touffu'], ['tête']]
264	et où il y en a tant d'autres si pâles et dont les rameaux pendent si près de terre.	46	7	20	1	0.05	[['pâle']]
265	Voyez	46	8	1	0	0.0	[]
266	-vous ces allées si magnifiques, et si irrégulières, ces jets d'eau si abondant et si élevés, et ces eaux si plattes et si basses: c'est le quartier des Anglois.	46	9	31	1	0.03225806451612903	[['magnifique']]
267	Tournez-vous sur votre gauche, remarquez ces palissades si charmantes, ces bosquets si riant, ces parterres si ornés où les fleurs recherchées sont en si grande profusion: c'est celui des Italiens.	46	10	32	1	0.03125	[['grand']]
268	Mais voici devant nous ceux que nous cherchons, ils sont en bonne compagnie, Homere, Sophocle, Euripide, Virgile et Horace sont avec eux.	46	11	22	0	0.0	[]
269	A ces mots le cœur me battit vivement, nous les joignimes dans un instant et je leur fis la révérence la plus respectueuse: j'étais tout stupéfait du plaisir de les voir, et tandis que mon Guide leur répétait avec l'ironie la plus amère, ce que je venais de lui dire, je m'occupais à le contempler.	46	12	58	3	0.05172413793103448	[['un'], ['faire'], ['amer']]
270	Je ne pouvais, sur-tout, me lasser d'admirer Homere et Virgile, ces Patriarches de la belle Littérature, au lieu de cette figure antique et de médaille que je leur supposais, la jeunesse la plus fraîche et la plus vigoureuse, les grâces les plus aimables, l'air le plus noble et le plus majestueux brillaient dans toute leur personne;	46	13	58	6	0.10344827586206896	[['bel'], ['figure'], ['frais'], ['vigoureux'], ['noble'], ['majestueux']]
271	je me sentais pour eux le respect et l'amour les plus vifs.	46	14	13	0	0.0	[]
272	Je me préparais à goûter le charme délicieux d'une conversation avec de tels hommes, lorsqu'à force de saignées et d'émétique, mon âme fut rappellée à la vie, ou plutôt aux douleurs, par le fil délié qui l'y retenait encore.	46	15	43	3	0.06976744186046512	[['délicieux'], ['un'], ['délier']]
273	A peine ai-je été rétabli que je me suis empressé de donner la Relation de mon voyage, et de m'acquitter des différentes commissions qu'on m'a données.	46	16	30	0	0.0	[]
