sentence nr	sentence	paragraph nr	sentence nr in paragraph	words	matches	sentence density	vocabulary words matched
171	En parlant ainsi les mains leur tremblaient par le plaisir de voir des objets si nouveaux, et par la crainte de les perdre.	9	15	23	1	0.043478260869565216	[['main']]
172	Le saturnien passant d' un excès de défiance à un excès de crédulité crût apercevoir qu' ils travaillaient à la propagation.	9	16	21	0	0.0	[]
173	Ah, disait-il, j' ai pris la nature sur le fait;	9	17	11	0	0.0	[]
174	mais il se trompait sur les apparences, ce qui n' arrive que trop, soit qu' on se serve ou non du microscope.	9	18	22	0	0.0	[]
175	CHAPITRE 6 ce qui leur arriva avec les hommes.	10	0	9	0	0.0	[]
176	Micromégas	11	0	1	0	0.0	[]
177	bien meilleur observateur que son nain, vit clairement que les atômes se parlaient et il le fit remarquer à son compagnon, qui honteux de s' être mépris sur l' article de la génération, ne voulut pas croire que de pareilles espèces pussent se communiquer des idées.	11	1	46	0	0.0	[]
178	Il avait le don des langues aussi bien que le sirien;	11	2	11	0	0.0	[]
179	il n' entendait pas parler nos atômes;	11	3	7	0	0.0	[]
180	et il supposait qu' ils ne parlaient pas: d' ailleurs comme ces êtres imperceptibles auraient	11	4	15	0	0.0	[]
181	-ils les organes de la voix, et qu' auraient-ils à dire?	11	5	12	1	0.08333333333333333	[['voix']]
182	Pour parler il faut penser, ou à peu près;	11	6	9	0	0.0	[]
183	mais s' ils pensaient ils auraient donc l' équivalent d' une âme.	11	7	12	0	0.0	[]
184	Or attribuer l' équivalent d' une âme à une espèce, cela lui paraissait absurde?	11	8	14	0	0.0	[]
185	Mais, dit le sirien, vous avez cru tout à l' heure qu' ils faisaient l' amour, est-ce que vous croyez qu' on puisse faire l' amour sans penser et sans proférer quelque parole, ou du moins sans se faire entendre.	11	9	41	0	0.0	[]
186	Supposez-vous d' ailleurs qu' il soit plus difficile de produire un argument qu' un enfant?	11	10	16	0	0.0	[]
187	Pour moi, l' un et l' autre me paraissent de grands mystéres.	11	11	12	1	0.08333333333333333	[['grand']]
188	Je n' ose plus ni croire, ni nier, dit le nain, je n' ai plus d' opinion.	11	12	17	0	0.0	[]
189	Il faut tâcher d' examiner ces insectes, nous raisonnerons après.	11	13	10	0	0.0	[]
190	C' est fort bien dit, reprit Micromégas, et aussi-tôt il tira une paire de ciseaux dont il se coupa les ongles, et d' une rognure de l' ongle de son pouce il fit sur le champ une espèce de grande trompéte parlante comme un vaste entonnoir, dont il mit le tuyau dans sonoreille, la circonférence de l' entonnoir envelopait le vaisseau et tout l' équipage, la voix la plus faible entrait dans les fibres circulaires de l' ongle, de sorte que grâce à son industrie, le philosophe de là haut entendit parfaitement le bourdonnement de nos insectes de là bas;	11	14	101	10	0.09900990099009901	[['fort'], ['ongle'], ['ongle'], ['pouce'], ['grand'], ['vaste'], ['voix'], ['faible'], ['ongle'], ['haut']]
191	en peu d' heures il parvint à distinguer les paroles, et enfin à entendre le français;	11	15	16	0	0.0	[]
192	le nain en fit autant quoiqu' avec plus de difficulté.	11	16	10	0	0.0	[]
193	L' étonnement des voyageurs redoublait à chaque instant, ils entendaient parler des mites d' assez bon sens, ce jeu de la nature leur paraissait inexplicable.	11	17	25	0	0.0	[]
194	Vous croyez bien que le sirien et son nain brûlaient d' impatience de lier conversation avec les atômes, il craignait que sa voix de tonnerre, et surtout celle de Micromégas n' assourdit les mites sans en être entendue.	11	18	38	1	0.02631578947368421	[['voix']]
195	Il fallait en diminuer la force, ils se mirent dans la bouche des espèces de petits curredents, dont le bout fort effilé venait donner auprès du vaisseau.	11	19	27	4	0.14814814814814814	[['bouche'], ['petit'], ['fort'], ['effiler']]
196	Le sirien tenait le nain sur ses genoux, et le vaisseau avec l' équipage sur son ongle, il baissait la tête et parlait bas, enfin moyennant toutes ces précautions, et bien d' autres encore, il commença ainsi son discours;	11	20	39	4	0.10256410256410256	[['genou'], ['ongle'], ['tête'], ['bas']]
197	insectes invisibles que la main du créateur s	11	21	8	1	0.125	[['main']]
198	' est plu à faire naitre dans l' abisme de l' infiniment petit, je le remercie de ce qu' il a daigné me découvrir des sécrets qui semblaient impénétrables;	11	22	28	1	0.03571428571428571	[['petit']]
199	peut être ne daignerait on pas vous regarder à ma cour, mais je ne méprise personne, et je vous offre ma protection.	11	23	22	0	0.0	[]
200	Si jamais il y eut quelqu' un d' étonné, ce furent les gensqui entendirent ces paroles	11	24	16	0	0.0	[]
201	, ils ne pouvaient deviner d' où elles partaient.	11	25	8	0	0.0	[]
202	L' aumonier du vaisseau récita les priéres des exorcismes, les matelots jurerent, et les philosophes du vaisseau firent des systèmes, mais quelque système qu' ils fissent ils ne purent jamais deviner qui leur parlait.	11	26	34	0	0.0	[]
203	Le nain de Saturne qui avait la voix plus douce que Micromégas, leur avait appris alors en peu de mots à quelles espèces ils avaient affaire, il leur raconta le voyage de Saturne;	11	27	33	2	0.06060606060606061	[['voix'], ['douce']]
204	les mit au fait de ce qu' était M Micromégas; et après les avoir plaint d' être si petits, il leur demanda s' ils avaient toujours été dans ce misérable état si voisin de l' anéantissement;	11	28	36	1	0.027777777777777776	[['petit']]
205	ce qu' ils faisaient dans un globe qui paraissait apartenir à des baleines, s' ils étaient heureux, s' ils multipliaient, s' ils avaient une âme, et cent autres questions de cette nature.	11	29	32	0	0.0	[]
206	Un raisonneur de la troupe plus hardi que les autres, et choqué de ce qu' on doutait de son âme, observa l' interlocuteur avec des pinules braquées sur un quart de cercle, fit deux stations et à la troisième il parla ainsi: vous croyez donc, monsieur, que parce que vous avez mille toises depuis la tête jusqu' aux pieds, que vous êtes un... mille toises, s' écria le nain;	11	30	69	2	0.028985507246376812	[['tête'], ['pied']]
207	juste ciel, d' où peut-il savoir ma hauteur?	11	31	9	0	0.0	[]
208	Mille toises!	11	32	2	0	0.0	[]
209	Il ne se trompe pas d' un pouce.	11	33	8	0	0.0	[]
210	Quoi cet atome m' a mésuré?	11	34	6	0	0.0	[]
211	Il est géometre, il connait ma grandeur, et moi qui ne le vois qu' à travers un microscope, je ne connais pas encore la sienne?	11	35	25	0	0.0	[]
212	Oui, je vous ai mésuré, dit le physicien, et je mésurerai bien encore votre grand compagnon, la proposition fut acceptée, son excellence se coucha de son long;	11	36	27	1	0.037037037037037035	[['grand']]
213	car s' il se fut tenu debout, sa tête eût été trop au dessus des nuages, nos philosophes lui planterent un grand arbre dans un endroit que le docteur Swift nommeroit,mais que je me garderai bien d' appeler par son nom à cause de mon grand respect pour les dames, puis par une suite de triangles liés ensemble ils conclurent que ce qu' ils voyaient était en effet un beau jeune homme de cent vingt mille pieds de roy.	11	37	80	5	0.0625	[['tête'], ['grand'], ['grand'], ['beau'], ['pied']]
214	Alors Micromégas prononça ces paroles: je vois plus que jamais qu' il ne faut juger de rien sur sa grandeur apparente.	11	38	21	1	0.047619047619047616	[['prononcer']]
215	ô dieu!	11	39	2	0	0.0	[]
216	Qui avez donné une intelligence à des substances qui paraissent si méprisables, l' infiniment petit vous coûte aussi peu que l' infiniment grand;	11	40	23	1	0.043478260869565216	[['petit']]
217	et s' il est possible qu' il y ait des êtres plus petits que ceux-ci, ils peuvent encore avoir un esprit superieur à ceux de ces superbes animaux que j' ai vu dans le ciel, dont le pied seul est plus grand que le globe où je suis descendu.	11	41	50	4	0.08	[['petit'], ['superbe'], ['pied'], ['grand']]
218	Un des philosophes lui répondit qu' il pouvait en toute sûreté croire qu' il est en effet des êtres intelligens beaucoup plus petits que l' homme;	11	42	26	1	0.038461538461538464	[['petit']]
219	il lui conta, non pas ce que Virgile a dit de fabuleux sur les abeilles, mais ce que Swammerdam a découvert, et ce que Réaumur a dissequé.	11	43	27	0	0.0	[]
220	Il lui aprit enfin qu' il y a des animaux qui sont pour les abeilles ce que les abeilles sont pour l' homme, ce que le sirien luimême était pour ces animaux si vastes dont il parlait, et ce que ces grands animaux sont pour d' autres substances devant lesquelles ils ne paraissent que comme des atomes.	11	44	57	2	0.03508771929824561	[['vaste'], ['grand']]
221	Peu après la conversation devint intéressante, et Micromégas parla ainsi.	11	45	10	0	0.0	[]
222	CHAPITRE 7 conversation de ces deux êtres avec des hommes.	12	0	10	0	0.0	[]
223	ô atomes intelligens!	13	0	3	0	0.0	[]
224	Dans qui l' être éternel semble s' être plu à manifester son adresse et sa puissance;	13	1	16	0	0.0	[]
225	vous devez sans doute goûter des joies bien pures sur votre globe;	13	2	12	1	0.08333333333333333	[['pur']]
226	car ayant si peu de matière, et paraissant tout esprit, vous devez passer votre vie à aimer et à penser, c' est la véritable vie des esprits.	13	3	27	0	0.0	[]
227	Je n' ai vu nulle part le vrai bonheur, mais il est ici sans doute.	13	4	15	0	0.0	[]
228	à ce discours tous les philosophes sécouerent la tête, et l' un d' eux plus franc que les autres avoua de bonne foi que si l' on en excepte un petit nombre d' habitants fort peu considerés, le reste est un assemblage de foux, de méchant et de malheureux;	13	5	49	3	0.061224489795918366	[['tête'], ['petit'], ['fort']]
229	nous avons plus de matière qu' il nous en faut, dit-il, pour faire beaucoup de mal, si le mal vient de la matière, et trop d' esprit si le mal vient de l' esprit.	13	6	35	0	0.0	[]
230	Sçavez-vous bien par exemple, qu' à l' heure que je vous parle, il y a cent mille foux de notre espèce couverts de chapeaux, qui tuent cent mille animaux couverts d' un turban, ou qui sont massacrés par eux;	13	7	40	0	0.0	[]
231	et presque par toute la terre c' est ainsi que l' on en use de temps immémorial.	13	8	17	0	0.0	[]
232	Le sirien frémit, et demanda quel pouvait être le sujet de ces horribles querelles entre de si chétifs animaux.	13	9	19	0	0.0	[]
233	Il s' agit, dit le philosophe, de quelque tas de boue, grand comme votre talon, mais ce n' est pasqu' aucun de ces milions d' hommes qui se font égorger prétendent un fétu sur ce tas boue.	13	10	37	1	0.02702702702702703	[['grand']]
234	Il ne s' agit que de savoir s' il appartiendra à un certain homme qu' on nomme sultan, ou à un autre qu' on nomme César, ni l' un ni l' autre ne verra jamais le petit coin de terre dont il s' agit, et presque aucun de ces animaux qui s' égorgent mutuellement n' a jamais vu l' animal pour lequel ils s' égorgent.	13	11	65	1	0.015384615384615385	[['petit']]
235	Ah malheureux, s' écria le sirien avec indignation!	13	12	8	0	0.0	[]
236	Peut-on concevoir cet excès de rage forcenée?	13	13	8	0	0.0	[]
237	Il me prend envie de faire trois pas, et d' écraser de trois coups de pieds cette fourmilliére d' assassins ridicules.	13	14	21	2	0.09523809523809523	[['écraser'], ['pied']]
238	Ne vous en donnez pas la peine, lui répondit-on, ils travaillent assez à leur ruine;	13	15	16	0	0.0	[]
239	sçachez qu' au bout de dix ans, il ne reste jamais la centiéme partie de ces misérables;	13	16	17	0	0.0	[]
240	sçachez que quand même ils n' auraient pas tiré l' épée, la faim, la fatigue, ou l' intempérance, les emportent presque tous, d' ailleurs ce n' est pas eux qu' il faut punir, ce sont ces barbares sédentaires, qui du fond de leur cabinet ordonnent dans le temps de leur digestion le massacre d' un milion d' hommes, et qui ensuite en font remercier Dieu solennellement.	13	17	66	1	0.015151515151515152	[['éper']]
241	Le voyageur se sentait ému de pitié pour la petite race humaine, dans laquelle il découvrait de si étonnant contrastes.	13	18	20	2	0.1	[['émouvoir'], ['petit']]
242	Puisque vous êtes du petit nombre des sages, dit il, à ces messieurs, et qu' apparemment vous ne tuez personne pour de l' argent: dites-moi, je vous prie, à quoi vous vous occupez?	13	19	34	1	0.029411764705882353	[['petit']]
243	Nous disséquons des mouches, dit le philosophe,nous mésurons des lignes;	13	20	11	0	0.0	[]
244	nous assemblons des nombres;	13	21	4	0	0.0	[]
245	nous sommes d' accord sur deux ou trois points que nous entendons, et nous disputons sur deux ou trois mille que nous n' entendons pas.	13	22	25	0	0.0	[]
246	Il prit aussi-tôt fantaisie au sirien et au saturnien d' interroger les atomes pensant pour voir les choses dont ils convenaient.	13	23	22	0	0.0	[]
247	Combien comptez-vous, dit-il, de l' étoile de la canicule à la grande étoile des gémeaux?	13	24	17	1	0.058823529411764705	[['grand']]
248	Ils répondirent tous à la fois trente-deux degrés et demie.	13	25	10	0	0.0	[]
249	Combien comptez-vous d' ici à la lune?	13	26	8	0	0.0	[]
250	Soixante demie diamétres de la terre en nombres ronds.	13	27	9	0	0.0	[]
251	Combien pése votre air?	13	28	4	0	0.0	[]
252	Il croyait les effrayer.	13	29	4	0	0.0	[]
253	Mais tous lui dirent que l' air pése environ neuf cens fois moins que l' or ducat.	13	30	17	0	0.0	[]
254	Le petit nain de Saturne étonné de leurs réponses, fut tenté de prendre pour des sorciers ces mêmes gens auxquels il avait réfusé une âme un quart-d' heure auparavant.	13	31	30	1	0.03333333333333333	[['petit']]
255	Enfin Micromégas leur dit: puisque vous savez si bien ce qui est hors de vous, sans doute que vous savez encore mieux ce qui est en dedans;	13	32	27	0	0.0	[]
256	dites-moi ce que c' est que votre âme, et comme vous formez vos idées.	13	33	15	0	0.0	[]
257	Les philosophes parlèrent tous à la fois comme auparavant;	13	34	9	0	0.0	[]
258	mais ils furent tous de différent avis.	13	35	7	0	0.0	[]
259	Le plus vieux citoit Aristote;	13	36	5	1	0.2	[['vieux']]
260	l' autre prononçait le nom de Descartes, celui-ci deMalbranche;	13	37	9	0	0.0	[]
261	cet autre de Leibnitz, cet autre de Loke.	13	38	8	0	0.0	[]
262	Un vieux péripaticien dit tout haut avec confiance: l' âme est une entéléchie et une raison par qui elle a la puissance d' être ce qu' elle est;	13	39	28	2	0.07142857142857142	[['vieux'], ['haut']]
263	c' est ce que déclare expressement Aristote, p 633.	13	40	9	0	0.0	[]
264	De l' édition du louvre.	13	41	5	0	0.0	[]
265	Il voulut citer le passage;	13	42	5	0	0.0	[]
266	ce n' est pas la peine, dit le géant, je n' entends pas trop bien le grec.	13	43	17	0	0.0	[]
267	Ni moi non plus, dit la mite philosophique.	13	44	8	0	0.0	[]
268	Pourquoi donc, réprit le sirien, citez-vous un certain Aristote en grec?	13	45	12	0	0.0	[]
269	C' est, répliqua le savant, qu' il faut bien citer ce qu' on ne comprend pas du tout dans la langue que l' on entend le moins.	13	46	27	0	0.0	[]
270	Le cartésien prit la parole, et dit: l' âme est un esprit pur qui a reçu dans le ventre de sa mére toutes les idées méthaphisiques, et qui en partant de-là est obligé d' aller à l' école et d' apprendre tout de nouveau ce qu' elle a si bien su, et qu' elle ne saura plus.	13	47	57	2	0.03508771929824561	[['pur'], ['ventre']]
271	Ce n' était donc pas la peine répondit l' animal de huit lieues, que ton âme fut si sçavante dans le ventre de ta mére, pour être si ignorante quand tu aurois de la barbe au menton;	13	48	37	4	0.10810810810810811	[['ton'], ['ventre'], ['ton'], ['barbe']]
272	mais qu' entends-tu par esprit.	13	49	6	0	0.0	[]
273	Que me demandez-vous-là, dit le raisonneur, je n' en ai pas d' idée	13	50	15	0	0.0	[]
274	, on dit que ce n' est pas la matière.	13	51	9	0	0.0	[]
275	Mais sais	13	52	2	0	0.0	[]
276	-tuau moins	13	53	2	0	0.0	[]
277	ce que c' est que la matière.	13	54	7	0	0.0	[]
278	Très bien, lui répondit l' homme, par exemple, cette pierre est grise, est d' une telle forme, a ses trois dimensions, elle est pésante et divisible.	13	55	26	0	0.0	[]
279	Hé bien, dit le sirien, cette chose qui te parait être divisible, pésante et grise, me dirais-tu bien ce que c' est?	13	56	23	1	0.043478260869565216	[['gris']]
280	Tu vois quelques attributs, mais le fond de la chose le connais-tu.	13	57	13	0	0.0	[]
281	Non, dit l' autre.	13	58	4	0	0.0	[]
282	Tu ne sais donc pas ce que c' est que la matière.	13	59	12	0	0.0	[]
283	Alors M Micromégas adressant la parole à un autre sage qu' il tenait sur son pouce, lui demanda ce que c' était que son âme, et ce qu' elle faisait.	13	60	30	1	0.03333333333333333	[['pouce']]
284	Rien du tout, dit le philosophe malbranchiste;	13	61	7	0	0.0	[]
285	c' est Dieu qui fait tout pour moi.	13	62	8	0	0.0	[]
286	Je vois tout en lui, je fais tout en lui, c' est lui qui fait tout sans que je m' en mêle.	13	63	22	0	0.0	[]
287	Autant vaudrait ne pas être, reprit le sage de Syrius; et toi, mon ami, dit-il, à un leibnitien qui était là, qu' est-ce ton âme?	13	64	27	1	0.037037037037037035	[['ton']]
288	C' est, répondit le leibnitien, une aiguille qui montre les heures pendant que mon corps carillonne; ou bien si vous voulez mon corps montre l' heure, ou bien mon âme est le miroir de l' univers, et mon corps est la bordure du miroir, tout cela est clair.	13	65	48	4	0.08333333333333333	[['pendant'], ['corps'], ['corps'], ['corps']]
289	Un petit partisan de Loke était là tout auprès, et quand on lui eut enfin adressé la parole, je ne sais pas, dit il, comment je pense, mais je sçai que je n' ai jamais pensé qu' à l' occasion de mes sens;	13	66	43	1	0.023255813953488372	[['petit']]
290	qu' il y ait des substances immaterielles et intelligentes, c' est de quoi je ne doute pas, mais qu' il soitimpossible à Dieu de communiquer la pensée à la matière, c' est de quoi je doute fort.	13	67	37	0	0.0	[]
291	Je revére la puissance éternelle;	13	68	5	0	0.0	[]
292	il ne m' appartient pas de la borner;	13	69	8	0	0.0	[]
293	je n' affirme rien, je me contente de croire qu' il y a plus de choses possibles qu' on ne pense.	13	70	21	0	0.0	[]
294	L' animal de Sirius sourit, il ne trouva pas celui-là le moins sage, et le nain de Saturne aurait embrassé le sectateur de Loke sans l' extrême disproportion: mais il y avait là par malheur un petit animalcule en bonnet quarré qui coupa la parole à tous les autres animalcules philosophes;	13	71	52	1	0.019230769230769232	[['petit']]
295	il dit qu' il savait tout le sécret, que tout cela se trouvait dans la somme de saint Thomas;	13	72	19	0	0.0	[]
296	il regarda de haut en bas les deux habitants célestes, il leur soutint que leurs personnes, leurs mondes, leurs soleils, leurs étoiles, tout était fait uniquement pour l' homme.	13	73	29	3	0.10344827586206896	[['haut'], ['bas'], ['céleste']]
297	à ce discours nos deux voyageurs se laissèrent aller l' un sur l' autre en étouffant de ce rire inextinguible, qui selon Homére est le partage des dieux; et dans ces convulsions le vaisseau que le syrien avait sur son ongle tomba dans la poche du saturnien;	13	74	47	2	0.0425531914893617	[['inextinguible'], ['ongle']]
298	ces deux bonnes gens le cherchèrent longtemps, enfin ils trouvèrent l' équipage, ils le rajusterent fort proprement.	13	75	17	1	0.058823529411764705	[['fort']]
299	Le syrien reprit les petites mites	13	76	6	1	0.16666666666666666	[['petit']]
300	, leur parla encore, et leur promit de leur faire un beau livre de philosophie,qui leur apprendrait des choses admirables et qui leur montreroit le bon des choses.	13	77	28	1	0.03571428571428571	[['beau']]
301	Effectivement il leur donna ce livre avant son départ: on le porta à Paris à l' académie des sciences;	13	78	19	0	0.0	[]
302	mais quand le vieux sécretaire l' eut ouvert il ne vit rien qu' un livre tout blanc.	13	79	17	1	0.058823529411764705	[['vieux']]
303	Ah!	13	80	1	0	0.0	[]
304	Dit-il, je m' en étais bien douté.	13	81	8	0	0.0	[]
